,X,Y
0,1996166.7519999999,515368.12700000004
1,1996124.12,515385.95
2,1995533.73,515630.26
4,1993952.747,516292.999
5,1993094.16,516651.19
6,1993068.13,516662.05
7,1991497.009,517317.52200000006
9,1991007.3,517521.83
10,1990497.72,517736.59
12,1988062.688,518751.98799999995
15,1985298.455,520214.865
16,1985256.31,520247.744
18,1984450.99,521024.35
19,1983833.32,521821.54
20,1983833.32,521821.54
21,1983850.18,521816.54
22,1983319.92,522727.7
24,1983026.71,523451.84
25,1982977.8,523596.54
26,1982813.29,524198.98
27,1982813.29,524198.98
29,1982639.47,525492.71
30,1982626.325,526005.739
33,1982626.325,526005.739
34,1982626.325,526005.739
35,1982626.325,526005.739
37,1982611.45,526881.87
38,1982603.54,527347.28
40,1982559.93,529831.77
41,1982559.305,529956.318
43,1982549.02,530548.09
44,1982545.51,531315.61
46,1982535.01,531343.103
48,1982534.94,531348.1
49,1982534.46,531372.55
51,1982521.424,532148.274
53,1982512.407,532735.14
54,1982494.96,533769.33
55,1982481.95,534604.15
56,1982471.52,534919.21
59,1982452.379,536417.878
61,1982447.1,536736.15
62,1982447.0569999998,536737.912
64,1982447.0569999998,536737.912
65,1982447.1,536736.15
67,1982447.0569999998,536737.912
68,1982447.0569999998,536737.912
69,1982447.14,536733.87
70,1982447.0569999998,536737.912
71,1982447.1,536736.15
72,1982447.12,536734.76
73,1982447.0569999998,536737.912
76,1982448.42,536738.21
77,1982447.0569999998,536737.912
78,1982447.0569999998,536737.912
79,1982447.04,536739.71
81,1982447.1,536736.15
82,1982447.0569999998,536737.912
83,1982447.1,536736.15
84,1982443.564,536950.5279999999
85,1982443.56,536950.53
87,1982430.47,537747.84
88,1982429.593,537800.993
89,1982420.862,538332.5329999999
91,1982399.372,539550.882
92,1982396.28,539708.95
93,1982376.14,540909.24
94,1982370.25,541521.59
95,1982359.27,541950.86
97,1982362.24,542057.01
100,1982355.187,542164.042
101,1982350.4009999998,542382.08
102,1982350.4,542382.08
105,1982313.322,543811.666
106,1982301.86,544383.27
107,1982298.283,544763.981
108,1982339.429,545333.423
109,1982343.94,545386.12
110,1982402.34,546076.08
117,1982446.08,552756.14
118,1982443.37,552763.2
119,1982444.6,552754.54
121,1982443.37,552763.2
122,1982444.6,552754.54
124,1982444.6,552754.54
125,1982444.6,552754.54
126,1982443.37,552763.2
127,1982446.08,552756.14
128,1982444.6,552754.54
129,1982443.365,552763.196
130,1982443.365,552763.196
131,1982443.37,552763.2
132,1982439.92,553610.7
133,1982435.8,553737.13
134,1982433.72,553810.614
136,1982409.63,555904.3
137,1982388.779,557473.505
138,1982383.37,557905.03
140,1982381.42,558053.55
141,1982381.1519999998,558049.22
142,1982381.1519999998,558049.22
143,1982344.92,561178.277
144,1982344.33,561231.29
146,1982303.84,563890.95
147,1982303.15,563935.29
148,1982281.616,564938.925
150,1982256.678,565895.392
151,1982243.366,566474.6579999999
152,1982226.01,567157.94
153,1982208.485,567855.155
154,1982197.632,568319.756
157,1982190.3969999999,568629.49
158,1982190.3969999999,568629.49
159,1982190.3969999999,568629.49
161,1982190.3969999999,568629.49
162,1982190.99,568640.67
163,1982189.05,568671.46
164,1982186.457,568733.6510000001
165,1982176.138,569156.7679999999
166,1982177.12,569116.77
167,1982157.87,569493.31
168,1982148.132,569578.743
169,1982005.12,570082.43
170,1981697.895,570578.422
171,1981671.01,570610.02
172,1981627.54,570651.91
173,1981590.7380000001,570695.136
174,1981311.74,570956.84
175,1981240.6709999999,571022.983
176,1980928.851,571309.277
177,1980636.61,571574.78
180,1980508.78,571694.27
181,1980227.72,571952.3
182,1980131.57,572039.78
183,1979815.12,572330.67
184,1979738.41,572402.95
185,1979650.45,572497.816
187,1979431.81,572796.4
188,1979431.81,572796.4
191,1979267.89,573268.05
193,1979263.875,573293.826
194,1979263.875,573293.826
195,1979263.87,573293.83
199,1979263.66,573713.87
200,1979276.9,573790.76
201,1979276.72,573789.73
204,1979288.22,573842.17
205,1979291.4,573829.57
207,1979296.489,573870.993
212,1979905.36,575296.56
213,1980120.35,575777.75
214,1980114.9630000002,575765.675
215,1980114.9630000002,575765.675
216,1980291.49,576162.21
217,1980977.614,577697.805
218,1981102.37,577993.49
219,1981119.6,578043.44
220,1981168.513,578193.647
221,1981189.52,578273.01
222,1981237.45,578502.96
224,1981252.634,578607.425
227,1981252.634,578607.425
228,1982541.52,542061.42
229,1982541.52,542061.42
230,1981837.3590000002,542042.001
231,1981837.3590000002,542042.001
232,2129804.549,521043.29299999995
233,2129762.64,523088.48
235,2129288.62,550930.28
236,2129273.9469999997,551614.845
237,2129033.38,561488.15
239,2128861.78,566236.43
242,2126037.37,568793.38
243,2123237.015,589098.718
247,2118668.79,602595.25
248,2117071.457,602708.461
249,2115483.33,602820.201
250,2114953.955,602857.447
251,2114901.017,602861.172
252,2107148.32,602780.4
254,2103910.49,602527.44
255,2098629.82,602908.0
257,2098717.9,603746.35
260,2098627.28,610406.4
261,2098553.643,613360.507
262,2098496.63,615797.37
263,2098394.67,623409.45
264,2098398.54,623409.63
265,2098236.82,633963.9
