ID,zone,northing,easting,units,inDatum,outDatum,utmZone,eht
52001,4602,828359.86,1187820.8,usft,NAD83(2011),NAD83(2011),auto,N/A
52002,4602,845505.4200000002,1190845.45,usft,NAD83(2011),NAD83(2011),auto,N/A
52003,4602,830978.36,1187604.59,usft,NAD83(2011),NAD83(2011),auto,N/A
52004,4602,476247.69,1633113.0,usft,NAD83(2011),NAD83(2011),auto,N/A
52005,4602,700231.52,1001257.61,usft,NAD83(2011),NAD83(2011),auto,N/A
52006,4602,670556.26,994741.6899999998,usft,NAD83(2011),NAD83(2011),auto,N/A
52007,4602,896386.05,1193429.97,usft,NAD83(2011),NAD83(2011),auto,N/A
52008,4602,888621.78,1186418.87,usft,NAD83(2011),NAD83(2011),auto,N/A
52009,4602,893936.23,1192481.24,usft,NAD83(2011),NAD83(2011),auto,N/A
52010,4602,896444.98,1193488.58,usft,NAD83(2011),NAD83(2011),auto,N/A
52011,4602,945306.49,1245872.74,usft,NAD83(2011),NAD83(2011),auto,N/A
52012,4602,661725.95,1207998.59,usft,NAD83(2011),NAD83(2011),auto,N/A
52013,4602,876223.43,2400960.140000001,usft,NAD83(2011),NAD83(2011),auto,N/A
52014,4602,892338.36,2400326.1,usft,NAD83(2011),NAD83(2011),auto,N/A
52015,4602,787663.58,2319334.68,usft,NAD83(2011),NAD83(2011),auto,N/A
52016,4602,873281.3,2401126.73,usft,NAD83(2011),NAD83(2011),auto,N/A
52017,4602,832387.51,2405090.5,usft,NAD83(2011),NAD83(2011),auto,N/A
52018,4602,866107.2,2401793.57,usft,NAD83(2011),NAD83(2011),auto,N/A
52019,4602,856468.52,2379189.84,usft,NAD83(2011),NAD83(2011),auto,N/A
52020,4602,841110.68,2403105.22,usft,NAD83(2011),NAD83(2011),auto,N/A
52021,4602,861496.64,2408354.97,usft,NAD83(2011),NAD83(2011),auto,N/A
52022,4602,861748.1,2414650.11,usft,NAD83(2011),NAD83(2011),auto,N/A
52023,4602,858362.9200000002,2392020.02,usft,NAD83(2011),NAD83(2011),auto,N/A
52024,4602,1064421.1,1214966.48,usft,NAD83(2011),NAD83(2011),auto,N/A
52025,4602,1065946.01,1184148.3100000005,usft,NAD83(2011),NAD83(2011),auto,N/A
52026,4602,652194.0699999997,1158652.34,usft,NAD83(2011),NAD83(2011),auto,N/A
52027,4602,683375.61,1152491.4299999995,usft,NAD83(2011),NAD83(2011),auto,N/A
52028,4602,704884.72,1141318.75,usft,NAD83(2011),NAD83(2011),auto,N/A
52029,4602,703743.14,1175266.72,usft,NAD83(2011),NAD83(2011),auto,N/A
52030,4602,695219.0,1153097.3200000005,usft,NAD83(2011),NAD83(2011),auto,N/A
52031,4602,789691.03,1203198.5,usft,NAD83(2011),NAD83(2011),auto,N/A
52032,4602,106041.33,1115496.76,usft,NAD83(2011),NAD83(2011),auto,N/A
52033,4602,123006.84,1089247.89,usft,NAD83(2011),NAD83(2011),auto,N/A
52034,4602,116890.92999999998,1113264.39,usft,NAD83(2011),NAD83(2011),auto,N/A
52035,4602,117085.25999999998,1113499.1,usft,NAD83(2011),NAD83(2011),auto,N/A
52036,4602,134000.62,1115834.14,usft,NAD83(2011),NAD83(2011),auto,N/A
52037,4602,147726.62,1092026.51,usft,NAD83(2011),NAD83(2011),auto,N/A
52038,4602,412667.59,1670101.01,usft,NAD83(2011),NAD83(2011),auto,N/A
52039,4602,767014.38,1683910.6599999997,usft,NAD83(2011),NAD83(2011),auto,N/A
52040,4602,761174.4,1687180.74,usft,NAD83(2011),NAD83(2011),auto,N/A
52041,4602,592895.46,1113349.04,usft,NAD83(2011),NAD83(2011),auto,N/A
52042,4602,618456.78,1094809.61,usft,NAD83(2011),NAD83(2011),auto,N/A
52043,4602,742093.85,1257681.38,usft,NAD83(2011),NAD83(2011),auto,N/A
52044,4602,869621.38,2454195.94,usft,NAD83(2011),NAD83(2011),auto,N/A
52045,4602,856097.41,2446778.73,usft,NAD83(2011),NAD83(2011),auto,N/A
52046,4602,875747.55,2442627.67,usft,NAD83(2011),NAD83(2011),auto,N/A
52047,4602,116213.71,1474776.53,usft,NAD83(2011),NAD83(2011),auto,N/A
