Latitude,Longitude
46.7378199,-119.0810351
46.7378708,-119.0812039
46.7385697,-119.0835407
46.7404644,-119.0897982
46.7414885,-119.0931968
46.7415195,-119.0932998
46.7433932,-119.0995191
46.7439772,-119.1014578
46.7445908,-119.1034749
46.7474924,-119.1131154
46.7516359,-119.1240389
46.751728,-119.1242047
46.7538957,-119.1273631
46.7561108,-119.1297718
46.7561108,-119.1297718
46.7560962,-119.1297049
46.7586196,-119.1317571
46.7606189,-119.1328767
46.7610179,-119.1330619
46.7626774,-119.1336766
46.7626774,-119.1336766
46.7662326,-119.1342807
46.7676398,-119.1342977
46.7676398,-119.1342977
46.7676398,-119.1342977
46.7676398,-119.1342977
46.7700425,-119.1342965
46.7713189,-119.1342959
46.7781326,-119.1342982
46.7784741,-119.1342921
46.780097,-119.1342923
46.7822014,-119.1342532
46.7822773,-119.1342932
46.782291,-119.1342932
46.7823581,-119.1342934
46.7844854,-119.1342918
46.7860948,-119.1342872
46.788931,-119.1342854
46.7912204,-119.1342796
46.7920847,-119.1342995
46.7961944,-119.1342723
46.7970673,-119.1342714
46.7970721,-119.1342714
46.7970721,-119.1342714
46.7970673,-119.1342714
46.7970721,-119.1342714
46.7970721,-119.1342714
46.797061,-119.1342714
46.7970721,-119.1342714
46.7970673,-119.1342714
46.7970634,-119.1342714
46.7970721,-119.1342714
46.7970728,-119.134266
46.7970721,-119.1342714
46.7970721,-119.1342714
46.797077,-119.1342714
46.7970673,-119.1342714
46.7970721,-119.1342714
46.7970673,-119.1342714
46.7976552,-119.1342707
46.7976552,-119.1342707
46.7998417,-119.1342678
46.7999875,-119.1342677
46.8014452,-119.1342658
46.8047865,-119.1342673
46.80522,-119.1342687
46.8085117,-119.1342662
46.8101908,-119.1342474
46.8113682,-119.1342615
46.8116591,-119.1342423
46.8119529,-119.1342631
46.8125509,-119.1342671
46.8125509,-119.1342671
46.816472,-119.1343163
46.8180397,-119.1343226
46.8190836,-119.1343105
46.8206429,-119.1341068
46.8207871,-119.1340852
46.822676,-119.1338042
46.840988,-119.1331671
46.8410075,-119.1331774
46.8409837,-119.1331731
46.8410075,-119.1331774
46.8409837,-119.1331731
46.8409837,-119.1331731
46.8409837,-119.1331731
46.8410075,-119.1331774
46.840988,-119.1331671
46.8409837,-119.1331731
46.8410075,-119.1331774
46.8410075,-119.1331774
46.8410075,-119.1331774
46.8433312,-119.1331325
46.843678,-119.1331402
46.8438795,-119.1331434
46.8496207,-119.1330947
46.8539238,-119.1330694
46.8551072,-119.1330611
46.8555144,-119.1330586
46.8555026,-119.13306
46.8555026,-119.13306
46.8640829,-119.132988
46.8642283,-119.1329867
46.8715219,-119.1329643
46.8716435,-119.132964
46.874396,-119.1329805
46.8770195,-119.1330139
46.8786082,-119.133027
46.8804823,-119.133049
46.8823946,-119.1330708
46.8836688,-119.133082
46.8845183,-119.1330895
46.8845183,-119.1330895
46.8845183,-119.1330895
46.8845183,-119.1330895
46.884549,-119.1330863
46.8846335,-119.1330919
46.8848041,-119.133098
46.8859646,-119.1331099
46.8858549,-119.1331088
46.8868881,-119.1331597
46.8871228,-119.1331927
46.8885105,-119.1337297
46.8898849,-119.1349239
46.8899728,-119.1350293
46.8900897,-119.1352002
46.8902099,-119.1353444
46.8909406,-119.136442
46.8911253,-119.1367217
46.891925,-119.1379489
46.8926667,-119.1390993
46.8930004,-119.1396023
46.8937211,-119.1407086
46.8939654,-119.1410871
46.8947779,-119.1423326
46.8949796,-119.1426345
46.8952439,-119.1429797
46.8960728,-119.1438336
46.8960728,-119.1438336
46.8973736,-119.1444568
46.8974444,-119.1444711
46.8974444,-119.1444711
46.8974444,-119.1444711
46.898596,-119.1444431
46.8988062,-119.1443848
46.8988034,-119.1443856
46.8989466,-119.144336
46.8989119,-119.1443242
46.8990252,-119.144301
46.9029048,-119.1417675
46.9042139,-119.1408743
46.904181,-119.1408967
46.904181,-119.1408967
46.9052598,-119.1401632
46.9094372,-119.1373125
46.910242,-119.1367929
46.9103781,-119.1367205
46.9107876,-119.1365145
46.9110042,-119.1364249
46.9116323,-119.1362173
46.911918,-119.1361493
46.911918,-119.1361493
46.8116627,-119.1335261
46.8116627,-119.1335261
46.8116429,-119.1363393
46.8116429,-119.1363393
46.7455474,-118.5476276
46.7511566,-118.5475928
46.827509,-118.546733
46.8293865,-118.5467239
46.8564673,-118.546708
46.8694947,-118.5469238
46.8766949,-118.5579611
46.9325433,-118.567166
46.9698444,-118.5841343
46.970261,-118.5905197
46.9706725,-118.5968685
46.9708096,-118.5989848
46.9708233,-118.5991964
46.9711099,-118.63025
46.9706262,-118.6432399
46.9720083,-118.6643512
46.9743007,-118.6639203
46.9925628,-118.6636621
47.0006651,-118.6636815
47.0073486,-118.6636826
47.0282208,-118.6633808
47.0282211,-118.6633653
47.0571619,-118.663028
47.0643958,-118.6629878
47.0831177,-118.664066
47.0905684,-118.6670617
47.1148726,-118.6652584
47.1307568,-118.665081
47.1307458,-118.6650875
47.1306725,-118.6859322
47.1330018,-118.6866607
47.1682012,-118.6854499
47.1712814,-118.6900865
47.242694,-118.6861191
47.2604051,-118.6859239
46.7377502,-119.3630753
46.7378024,-119.3525211
46.7377985,-119.3525493
46.7378117,-119.3504099
46.7378365,-119.3441279
46.7378931,-119.3314066
46.7379768,-119.3124154
46.7380961,-119.282344
46.7380961,-119.282344
46.7381775,-119.2613558
46.7382331,-119.2472748
46.738243,-119.2451748
46.7382528,-119.2447543
46.7386825,-119.2401628
46.742508,-119.2265979
46.7439315,-119.2215752
46.7440292,-119.2210262
46.7433113,-119.2105137
46.7430453,-119.2097671
46.7388709,-119.1997238
46.7383859,-119.1973627
46.7381565,-119.1927053
46.738146,-119.1910279
46.738142,-119.1903967
46.7381407,-119.1901863
46.7381459,-119.1897272
46.7381378,-119.1897258
46.7381381,-119.1897655
46.7381381,-119.1897655
46.7381381,-119.1897655
46.7381234,-119.1878353
46.7381234,-119.1878368
46.738107,-119.1856938
46.7380973,-119.1844076
46.7380929,-119.1835458
46.7381182,-119.1828546
46.7389835,-119.1795579
46.7437739,-119.1764392
46.7455044,-119.1764601
46.7469497,-119.1764376
46.7483849,-119.1764437
46.75228,-119.1764203
46.7525681,-119.1764193
46.7526655,-119.1764027
46.7528555,-119.1764183
46.7560295,-119.1763979
46.7560267,-119.1763979
46.7579027,-119.1763988
46.758479,-119.1763992
46.7623984,-119.1763771
46.767539,-119.1763892
46.7675377,-119.1764221
46.7675435,-119.1764067
46.7689996,-119.1764188
46.7701825,-119.1764287
46.7740271,-119.1764738
46.7743871,-119.1764637
46.7747275,-119.1764665
46.7754646,-119.1764688
46.7820802,-119.1764805
46.7820802,-119.1764805
46.7824537,-119.1765003
46.7845159,-119.176483
46.787402,-119.1764839
46.7884925,-119.1764805
46.7888412,-119.1764831
46.789846,-119.176487
46.7902766,-119.1764888
46.7902766,-119.1764888
46.791712,-119.1764945
46.7943057,-119.1765165
46.7943524,-119.1765006
46.7942991,-119.1765164
46.7951616,-119.1765241
46.7953053,-119.1765253
46.7967506,-119.1765347
