,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
0,201400001,E297735,007,38.22,7,46.967880696,-122.3577407575,1,1,3,2.0,1.0,01,R,1,1,2,A,,Y,A,R,A,W,27.0,44.0,,007,55.0,38.07,38.32,0,8,0,2,8,11,22,7153.0,0.65,0.0,+,0.66
1,201400002,E297738,007,37.98000000000001,7,46.9706393318,-122.3577819622,1,1,3,2.0,1.0,05,R,3,2,2,A,,N,A,R,A,W,27.0,44.0,,007,55.0,37.56,38.07,0,8,0,2,8,11,22,7153.0,1.33,0.0,-,1.78
2,201400003,E297486,002,283.78,2,47.7249335905,-117.4113992514,1,2,4,1.0,4.0,01,U,1,1,2,C,,Y,C,U,A,E,32.0,53.0,1220.0,002,30.0,283.76,283.8400000000001,37,0,0,6,0,14,85,41069.0,1.2,0.0,-,0.15
3,201400004,E298074,522,5.63,522,47.7519984458,-122.28027950479999,1,5,7,1.0,1.0,01,U,2,7,3,,,,,U,A,W,17.0,53.0,657.0,522,35.0,5.62,5.63,0,0,0,4,0,13,52,44518.0,0.16,2.0,+,0.93
4,201400005,E298107,020SPANACRT,1.11,20,48.4773498021,-122.59176334940001,1,6,1,4.0,6.0,01,U,1,1,3,,A,,A,U,A,W,29.0,52.0,30.0,020SPANACRT,,0.91,1.15,50,0,4,4,8,12,48,22671.0,1.99,0.0,+,0.3
5,201400006,E298017,395,208.04,395,48.2207631442,-117.7154028482,1,4,6,1.0,6.0,01,R,3,2,2,A,,N,A,R,A,E,33.0,43.0,,395,60.0,207.45,208.06,8,8,0,2,8,12,24,7475.0,1.66,0.0,+,0.16
6,201400007,E298370,005,151.28999999999996,5,47.4209091314,-122.28680113780001,1,3,5,1.0,1.0,01,U,1,1,2,P,S,,A,U,P,W,17.0,51.0,1139.0,005,60.0,151.28999999999996,151.31,30,3,45,8,10,12,94,203342.0,1.48,1.25,-,1.0
7,201400008,E298343,099,11.21,99,47.3845622295,-122.2969993401,1,3,5,1.0,1.0,01,U,1,1,2,,S,Y,C,U,A,W,17.0,53.0,615.0,099,60.0,11.1,11.28,0,0,12,4,0,12,48,27086.0,1.78,0.0,+,3.03
8,201400009,E298369,082,38.27000000000001,82,46.5340913624,-120.47183651579999,1,7,2,4.0,6.0,06,U,1,1,3,A,S,,A,U,A,E,39.0,51.0,,082,60.0,38.13,38.28,15,4,40,4,10,12,48,23372.0,1.28,1.0,+,0.0
9,201400010,E298592,020,41.43,20,48.405537278800004,-122.64455709639999,1,6,1,1.0,1.0,02,R,1,1,2,C,,,C,R,A,W,15.0,43.0,,020,55.0,41.4,41.49,5,0,0,2,0,11,22,16590.0,0.54,0.0,+,0.67
10,201400011,E298470,099,16.47,99,47.4596815428,-122.2918136351,1,6,1,1.0,1.0,02,U,2,7,2,,S,Y,C,U,A,W,17.0,53.0,1139.0,099,60.0,16.120000000000005,16.47,0,0,12,5,0,12,62,24380.0,3.11,0.0,-,3.3
11,201400012,E298601,005,182.74,5,47.83240890689999,-122.2616954838,1,6,1,4.0,4.0,01,U,2,7,3,A,S,,A,U,A,W,31.0,51.0,,005,60.0,182.73,182.8,35,7,100,6,10,12,72,138683.0,3.54,0.0,-,0.5
