CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
201500002,E389751,395,52.09000000000001,395,46.559393470799996,-118.9970628557,1,4,7,3.0,6.0,03,R,2,7,2,A,S,,A,R,P,E,11.0,42.0,,395,70.0,51.8,52.09000000000001,5,4,75,4,10,12,48,14850.0,1.57,0.0,+,3.12
2015000021,E389564,012,121.44,12,46.5347724042,-121.81712469760001,1,4,7,2.0,1.0,03,R,3,2,2,A,,N,A,R,A,W,21.0,43.0,,012,60.0,120.67,121.54,11,10,0,2,10,12,24,2509.0,0.8,0.0,+,1.64
2015000023,E389815,009,21.12,9,48.080215529700006,-122.11151962299999,1,2,5,2.0,1.0,09,U,3,2,3,C,,,C,U,P,W,31.0,52.0,,009,,21.09,21.14,0,0,0,2,0,14,28,15159.0,0.28,0.0,+,1.0
201500003,E389931,090,161.28,90,47.1040086546,-119.59114099969999,1,2,5,1.0,2.0,01,R,1,1,2,A,S,,A,R,A,E,13.0,41.0,,090,70.0,161.27,162.03,20,4,38,4,10,12,48,12826.0,3.56,0.0,-,0.73
2015000039,E388799,153,28.64,153,48.3196730327,-120.0552466295,1,1,4,1.0,1.0,01,R,1,1,1,B,,N,B,R,B,E,24.0,44.0,,153,,27.68,29.27,5,3,0,2,3,11,22,1753.0,1.02,0.0,+,0.45
201500004,E390720,090,47.58,90,47.4014767154,-121.4510380975,1,4,7,4.0,1.0,04,R,1,1,2,P,O,,P,R,P,,17.0,41.0,,090,70.0,47.37,48.88,5,10,999,7,10,12,84,32464.0,17.89,0.0,+,5.29
2015000047,E388556,090,277.71,90,47.6507623547,-117.439083093,1,1,4,1.0,4.0,01,U,1,1,2,,P,Y,P,U,P,E,32.0,51.0,1220.0,090,60.0,277.59,277.75,45,0,20,6,10,12,72,89331.0,5.22,0.0,-,2.59
201500005,E389680,005,156.12,5,47.484531358000005,-122.2697423627,1,5,1,2.0,4.0,02,U,2,7,2,,A,Y,A,U,P,W,17.0,51.0,1320.0,005,60.0,156.08000000000004,156.25,30,0,24,8,10,12,92,171990.0,10.67,2.25,-,3.8
2015000050,E388758,125,5.2,125,46.0613720592,-118.3470603381,1,1,4,1.0,4.0,01,U,1,1,2,C,,Y,C,U,A,E,36.0,53.0,1365.0,125,,5.2,5.27,0,0,0,4,0,17,66,13624.0,0.35,0.0,-,0.2
2015000058,E389108,395,27.25,395,46.24779695310001,-119.1261701561,1,1,4,1.0,2.0,01,U,2,7,3,A,S,,A,U,A,E,11.0,52.0,960.0,395,55.0,27.23,27.27,5,4,36,3,10,12,36,46397.0,0.68,3.82,+,3.19
201500007,3585471,099,26.1,99,47.617688092799995,-122.34354048540001,1,5,1,2.0,1.0,03,U,2,6,3,C,P,Y,C,U,P,W,17.0,52.0,1140.0,099,40.0,25.829999999999995,26.18,10,0,4,4,0,13,50,44792.0,5.72,14.01,-,1.94
201500009,E390729,202,7.78,202,47.669484748100004,-122.10669801450001,1,7,3,1.0,1.0,05,U,1,1,3,,S,Y,C,U,A,W,17.0,53.0,1065.0,202,,7.78,7.79,0,0,14,5,0,13,66,35453.0,0.13,0.0,+,0.08
2015000093,E389697,090,278.66,90,47.652633243800004,-117.41897262200001,1,1,4,1.0,4.0,01,U,2,5,2,,P,Y,C,U,P,E,32.0,51.0,1220.0,090,60.0,278.64,278.75,45,0,4,7,0,15,104,101268.0,4.07,0.0,+,1.72
2015000094,E388944,395,191.29,395,48.008899326400005,-117.5809026328,1,2,5,3.0,1.0,02,R,1,1,1,A,,N,A,R,A,E,33.0,42.0,,395,60.0,190.85,191.41,8,7,0,2,7,12,24,9317.0,1.9,0.17,+,0.86
201500010,E389955,509,28.05,509,47.4392201463,-122.3228452355,1,6,2,2.0,1.0,01,U,1,1,3,A,,Y,A,U,A,W,17.0,53.0,1139.0,509,50.0,28.05,28.059999999999995,7,10,0,4,10,15,61,16096.0,0.06,0.0,+,0.0
201500011,E390242,005,140.06,5,47.263472786099996,-122.32439011209999,1,6,2,1.0,4.0,05,U,1,1,2,A,S,,A,U,P,W,17.0,51.0,785.0,005,60.0,139.91,140.16,30,10,84,8,10,12,96,190499.0,17.379999999999995,0.0,+,3.02
201500012,E390722,090,46.38,90,47.39553642640001,-121.47396664520001,1,4,7,3.0,1.0,04,R,1,1,2,P,O,Y,P,R,P,,17.0,41.0,,090,70.0,46.36,46.77,5,10,999,7,10,12,84,32464.0,4.86,0.0,+,1.6599999999999997
201500013,E390723,090,42.49,90,47.400821586000006,-121.55517282950001,1,5,1,2.0,1.0,03,R,1,0,1,A,S,,A,R,P,,17.0,41.0,,090,70.0,42.39,42.95,5,6,78,6,10,12,72,32499.0,6.639999999999999,0.0,+,0.62
201500014,E390719,090,46.02,90,47.396107969300004,-121.4817788948,1,4,7,3.0,4.0,03,R,1,1,2,P,S,Y,P,R,P,,17.0,41.0,,090,70.0,45.6,46.09,5,6,60,6,10,12,72,32528.0,5.82,0.84,+,1.82
201500015,E389758,181,0.61,181,47.3867242295,-122.2474160371,1,5,1,1.0,1.0,02,U,1,1,2,C,,,C,U,A,W,17.0,53.0,615.0,181,,0.55,0.61,0,0,0,4,0,16,64,25421.0,0.56,0.0,-,0.08
201500016,E389608,099,37.22999999999999,99,47.777772043199995,-122.34620993899999,1,2,5,2.0,4.0,03,U,1,1,2,C,,Y,C,U,A,W,31.0,53.0,365.0,099,40.0,37.22999999999999,37.25,20,0,0,4,0,18,70,29899.0,0.22,0.0,-,3.26
2015000176,E389175,405,18.170000000000005,405,47.6800859067,-122.18431608659999,1,3,6,1.0,1.0,01,U,1,1,1,,A,,A,U,A,W,17.0,51.0,625.0,405,60.0,18.129999999999995,18.31,23,0,20,6,10,12,72,161051.0,10.58,1.01,-,2.51
201500018,E390724,090,10.51,90,47.5747652005,-122.12201027280001,1,5,1,2.0,1.0,03,U,2,7,2,A,S,,A,U,A,W,17.0,51.0,75.0,090,60.0,10.51,10.55,0,10,75,6,13,12,72,130464.0,1.9,0.0,-,2.48
201500019,E389838,090,87.38,90,47.1615501596,-120.8469344387,1,4,7,3.0,1.0,04,R,1,1,2,A,S,,A,R,P,E,19.0,41.0,,090,70.0,87.36,87.73,12,4,76,4,10,12,48,26659.0,3.6,1.5,+,0.53
201500020,E389522,012,142.27,12,46.6750990733,-121.5210265808,1,4,7,3.0,1.0,03,R,2,6,2,A,,,A,R,A,,21.0,43.0,,012,60.0,141.98,143.28,13,2,0,2,4,13,25,1651.0,0.78,0.0,+,5.97
201500021,E389564,012,121.44,12,46.5347724042,-121.81712469760001,1,4,7,2.0,1.0,03,R,3,2,2,A,,N,A,R,A,W,21.0,43.0,,012,60.0,120.67,121.54,11,10,0,2,10,12,24,2509.0,0.8,0.0,+,1.64
201500023,E389815,009,21.12,9,48.080215529700006,-122.11151962299999,1,2,5,2.0,1.0,09,U,3,2,3,C,,,C,U,P,W,31.0,52.0,,009,,21.09,21.14,0,0,0,2,0,14,28,15159.0,0.28,0.0,+,1.0
201500024,E390739,104,27.43,104,47.7832087445,-122.3515461473,1,6,2,1.0,1.0,02,U,1,1,2,C,,Y,C,U,A,W,31.0,53.0,365.0,104,60.0,27.43,27.46,10,0,0,4,0,15,60,23342.0,0.26,0.0,+,1.52
201500025,E388887,002,283.76,2,47.724860139700006,-117.4113882705,1,2,5,3.0,1.0,02,U,1,1,3,C,,Y,C,U,A,E,32.0,53.0,1220.0,002,30.0,283.76,283.84,37,0,0,6,0,14,85,41537.0,1.21,0.0,-,0.15
201500026,E388889,290,2.53,290,47.6685827907,-117.3594543335,1,2,5,3.0,1.0,04,U,1,1,2,C,,Y,C,U,A,E,32.0,53.0,1220.0,290,40.0,2.53,2.62,5,0,0,4,0,12,48,6949.0,0.23000000000000004,0.0,-,0.24
2015000278,E389497,395,185.84,395,47.960539051800005,-117.49660686819999,1,2,5,8.0,1.0,02,R,2,7,2,A,,Y,A,R,A,E,32.0,42.0,,395,60.0,185.82,186.76,8,8,0,2,8,11,22,10953.0,3.7599999999999993,0.0,+,1.36
201500028,E390735,195,16.510000000000005,195,46.6578608122,-117.1910189129,1,8,4,1.0,6.0,01,R,1,1,1,B,,N,B,R,B,E,38.0,43.0,,195,60.0,15.77,17.8,2,8,0,2,8,12,24,4849.0,3.59,0.0,+,2.44
