CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400001,1.0,35.0,,55.0,2.0,23,24,4.0,,12,0,0,,,1
201400001,,,,,,0,0,,,0,0,0,,,2
201400002,1.0,49.0,,,2.0,17,0,9.0,,12,0,0,,,1
201400002,2.0,35.0,,55.0,2.0,18,0,4.0,,12,0,0,,,2
201400003,1.0,52.0,,30.0,2.0,10,0,4.0,,12,0,0,,,1
201400003,,,,,,0,0,,,0,0,0,,,2
201400004,1.0,49.0,2.0,40.0,2.0,14,2,4.0,,12,0,0,9.0,F,1
201400004,2.0,52.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400004,2.0,64.0,,,2.0,18,0,4.0,,12,0,0,,,3
201400005,1.0,26.0,,55.0,2.0,17,0,4.0,,12,0,0,,,1
201400005,,,,,,0,0,,,0,0,0,,,2
201400005,2.0,54.0,,,2.0,17,0,4.0,,12,0,0,1.0,F,3
201400006,1.0,29.0,,60.0,2.0,1,0,1.0,,12,14,0,,,1
201400006,,,,,,0,0,,,0,0,0,,,2
201400007,1.0,43.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400007,1.0,21.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400008,1.0,29.0,,45.0,2.0,6,0,4.0,,12,0,0,,,1
201400008,1.0,63.0,,45.0,2.0,18,0,4.0,,12,0,0,,,2
201400009,1.0,21.0,,60.0,2.0,23,4,4.0,,12,0,0,,,1
201400009,,,,,,0,0,,,0,0,0,,,2
201400009,1.0,30.0,,60.0,2.0,18,0,4.0,,12,0,0,2.0,F,3
201400010,1.0,57.0,,30.0,2.0,18,0,4.0,,12,0,0,,,1
201400010,,,,,,0,0,,,0,0,0,,,2
201400011,1.0,57.0,,40.0,2.0,7,0,4.0,,12,0,0,,,1
201400011,2.0,39.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400012,1.0,53.0,,60.0,2.0,16,4,4.0,,4,0,0,,,1
201400012,1.0,39.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400012,1.0,64.0,,,2.0,18,0,4.0,,12,0,0,9.0,F,3
201400013,2.0,80.0,,65.0,1.0,17,0,9.0,,12,0,0,,,1
201400013,,,,,,0,0,,,0,0,0,,,2
201400014,1.0,49.0,,60.0,2.0,4,0,4.0,,12,0,0,9.0,F,1
201400015,1.0,53.0,,60.0,1.0,23,5,4.0,,12,0,0,,,1
201400015,2.0,22.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400016,1.0,25.0,,30.0,2.0,1,4,9.0,,12,0,0,,,1
201400016,,,,,,0,0,,,0,0,0,,,2
201400017,1.0,46.0,,60.0,2.0,23,0,4.0,,12,0,0,2.0,F,1
201400018,1.0,23.0,,70.0,2.0,4,0,4.0,,12,0,0,,,1
201400018,1.0,48.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400019,1.0,57.0,,,2.0,17,23,4.0,,12,0,0,,,1
201400019,2.0,25.0,,,2.0,52,0,4.0,,12,0,0,,,2
201400020,1.0,32.0,,70.0,2.0,18,0,4.0,,12,0,0,,,1
