rte_nbr,grad_inv,dir_grad,pct_grad,endmp,begmp
2,002,-,,0.16,0.0
2,002,-,,0.18000000000000005,0.16
2,002,-,,0.25,0.18000000000000005
2,002,+,44.0,0.3000000000000001,0.25
2,002,+,276.0,0.37,0.3000000000000001
2,002,+,500.0,0.63,0.37
2,002,-,,0.97,0.63
2,002,+,0.0,1.09,0.97
2,002,+,94.0,1.49,1.09
2,002,-,,2.1299999999999994,1.49
2,002,-,,2.67,2.1299999999999994
2,002,+,62.0,2.75,2.67
2,002,+,87.0,2.78,2.75
2,002,+,62.0,3.33,2.78
2,002,+,160.0,3.83,3.33
2,002,+,400.0,3.96,3.83
2,002,+,380.0,4.420000000000001,3.96
2,002,+,264.0,5.12,4.420000000000001
2,002,-,,5.17,5.12
2,002,-,,5.52,5.17
2,002,-,,6.14,5.52
2,002,-,,6.45,6.14
2,002,-,,6.92,6.45
2,002,-,,7.29,6.92
2,002,-,,8.62,7.29
2,002,+,280.0,9.230000000000002,8.62
2,002,-,,9.41,9.230000000000002
2,002,+,0.0,9.42,9.41
2,002,-,,9.7,9.42
2,002,+,38.0,9.909999999999998,9.7
2,002,-,,10.229999999999999,9.909999999999998
2,002,+,70.0,10.58,10.229999999999999
2,002,-,,10.89,10.58
2,002,-,,11.21,10.89
2,002,+,0.0,12.27,11.21
2,002,+,57.0,12.6,12.27
2,002,-,,12.8,12.6
2,002,-,,12.92,12.8
2,002,+,8.0,13.279999999999998,12.92
2,002,+,17.0,13.84,13.279999999999998
2,002,+,48.0,14.59,13.84
2,002,+,100.0,15.16,14.59
2,002,-,,15.32,15.16
2,002,+,161.0,15.48,15.32
2,002,+,312.0,15.860000000000005,15.48
2,002,-,,16.0,15.860000000000005
2,002,+,7.0,17.0,16.0
2,002,+,41.0,17.56,17.0
2,002,+,25.0,18.06,17.56
2,002,+,244.0,18.59,18.06
2,002,-,,18.849999999999994,18.59
2,002,+,10.0,20.099999999999994,18.849999999999994
2,002,+,270.0,20.55,20.099999999999994
2,002,-,,20.8,20.55
2,002,+,0.0,20.95,20.8
2,002,+,22.0,21.19,20.95
2,002,-,,21.35,21.19
2,002,+,43.0,21.67,21.35
2,002,-,,22.03,21.67
2,002,-,,22.12,22.03
2,002,-,,22.33,22.12
2,002,-,,22.89,22.33
2,002,-,,22.95,22.89
2,002,+,0.0,23.03,22.95
2,002,+,400.0,23.19,23.03
2,002,+,338.0,23.41,23.19
2,002,+,42.0,23.88,23.41
2,002,+,0.0,24.01,23.88
2,002,+,35.0,24.599999999999994,24.01
2,002,-,,24.98,24.599999999999994
2,002,+,30.0,25.49,24.98
2,002,+,21.0,25.67,25.49
2,002,+,34.0,25.759999999999994,25.67
2,002,+,16.0,25.88,25.759999999999994
2,002,-,,25.95,25.88
2,002,+,93.0,26.009999999999994,25.95
2,002,+,12.0,26.059999999999995,26.009999999999994
2,002,+,62.0,26.14,26.059999999999995
2,002,-,,26.2,26.14
2,002,+,47.0,26.23,26.2
2,002,+,104.0,26.25,26.23
2,002,+,60.0,26.36,26.25
2,002,+,176.0,26.6,26.36
2,002,-,,26.78,26.6
2,002,+,3.0,27.009999999999994,26.78
2,002,+,38.0,27.1,27.009999999999994
2,002,+,74.0,27.14,27.1
2,002,+,82.0,27.240000000000006,27.14
2,002,-,,27.4,27.240000000000006
2,002,+,52.0,27.54,27.4
2,002,+,11.0,27.73,27.54
2,002,+,149.0,27.78,27.73
2,002,+,60.0,28.009999999999994,27.78
2,002,-,,28.09,28.0
2,002,-,,28.0,28.009999999999994
2,002,+,27.0,28.21,28.09
2,002,+,105.0,28.26,28.21
2,002,+,50.0,28.38,28.26
2,002,+,53.0,28.6,28.38
2,002,+,78.0,28.670000000000005,28.6
2,002,+,14.0,28.72,28.670000000000005
2,002,-,,28.74,28.72
2,002,-,,28.84,28.74
2,002,+,11.0,28.88,28.84
2,002,+,58.0,28.92000000000001,28.88
2,002,+,31.0,28.97,28.92000000000001
2,002,+,3.0,29.0,28.97
2,002,+,88.0,29.18,29.0
2,002,+,60.0,29.24,29.18
2,002,+,70.0,29.35,29.24
2,002,+,174.0,29.43,29.35
2,002,+,145.0,29.49,29.43
2,002,+,190.0,29.540000000000006,29.49
2,002,+,94.0,29.6,29.540000000000006
2,002,+,26.0,29.65,29.6
2,002,+,51.0,29.74,29.65
2,002,+,32.0,29.85,29.74
2,002,+,62.0,29.9,29.85
2,002,+,60.0,30.16,29.9
2,002,+,400.0,30.19000000000001,30.16
2,002,+,528.0,30.25,30.19000000000001
2,002,+,489.0,30.34,30.25
2,002,-,,30.36,30.34
2,002,-,,30.48,30.36
2,002,-,,30.51,30.48
2,002,-,,30.55,30.51
2,002,+,33.0,30.57999999999999,30.55
2,002,+,60.0,30.62,30.57999999999999
2,002,+,80.0,30.68,30.62
2,002,+,64.0,30.76,30.68
2,002,+,75.0,30.8,30.76
2,002,+,50.0,30.86,30.8
