CASENO,SEATPOS,VEHNO
2016000003,3,2
2016000005,8,1
2016000011,7,1
2016000011,3,2
2016000018,3,2
2016000021,3,2
2016000029,2,1
2016000029,7,1
2016000029,8,1
2016000029,9,1
2016000029,3,2
2016000029,7,2
2016000036,3,3
2016000039,11,1
2016000039,6,2
2016000040,3,2
2016000040,7,2
2016000040,8,2
2016000040,9,2
2016000042,3,2
2016000044,3,2
2016000044,3,3
2016000050,3,2
2016000063,6,1
2016000063,3,2
2016000063,7,2
2016000064,3,3
2016000065,3,2
2016000065,7,2
2016000065,9,2
2016000070,3,2
2016000075,3,2
2016000075,9,2
2016000076,3,2
2016000077,3,2
2016000078,7,1
2016000078,9,1
2016000079,8,2
2016000090,3,2
2016000090,7,2
2016000090,9,2
2016000090,10,2
2016000097,3,1
2016000103,3,2
2016000115,7,1
2016000124,7,1
2016000124,9,1
2016000125,9,1
2016000126,7,1
2016000130,3,2
2016000130,7,2
2016000130,9,2
2016000131,3,2
2016000131,3,3
2016000132,3,2
2016000132,7,2
2016000132,8,2
2016000132,9,2
2016000134,9,1
2016000140,9,1
2016000140,3,2
2016000140,9,2
2016000144,3,2
2016000146,4,1
2016000146,5,1
2016000146,6,1
2016000146,7,1
2016000146,8,1
2016000146,9,1
2016000149,3,2
2016000150,3,1
2016000150,4,1
2016000150,6,1
2016000150,9,1
2016000150,3,2
2016000156,1,2
2016000158,7,2
2016000159,9,1
2016000161,3,2
2016000162,3,2
2016000164,7,1
2016000167,3,2
2016000173,3,2
2016000174,3,2
2016000186,7,1
2016000186,9,1
2016000190,3,2
2016000190,5,2
2016000190,7,2
2016000190,9,2
2016000191,3,1
2016000191,7,1
2016000191,8,1
2016000191,9,1
2016000194,9,1
2016000195,3,2
2016000195,4,2
2016000195,6,2
2016000196,1,1
2016000196,7,1
2016000197,4,1
2016000199,3,2
2016000203,5,1
2016000203,7,1
2016000210,3,2
2016000212,9,1
2016000212,3,2
2016000212,7,2
2016000212,9,2
2016000214,3,3
2016000215,7,1
2016000215,9,1
2016000215,3,2
2016000216,7,1
2016000216,8,1
2016000224,3,2
2016000226,3,3
2016000230,3,2
2016000230,4,2
2016000231,7,1
2016000233,3,1
2016000233,7,1
2016000235,11,1
2016000237,3,2
2016000238,3,1
2016000238,9,1
2016000238,11,2
2016000239,3,1
2016000247,3,2
2016000247,7,2
2016000247,9,2
2016000247,3,3
2016000247,7,3
