curv_inv,DIR_CURV,begmp,endmp,deg_curv,rte_nbr
002,L,0.16,0.19,43.74,2
002,R,0.2,0.29,17.739999999999995,2
002,L,0.32,0.79,0.93,2
002,R,1.8400000000000003,1.92,0.6,2
002,R,2.3700000000000006,2.72,3.8199999999999994,2
002,L,2.82,2.85,3.0,2
002,L,3.33,3.4300000000000006,2.0,2
002,R,3.87,4.07,0.95,2
002,L,4.16,4.57,1.47,2
002,L,4.8,5.009999999999999,2.16,2
002,R,5.3100000000000005,5.96,0.96,2
002,R,6.57,7.14,2.25,2
002,L,8.189999999999998,8.83,2.66,2
002,R,8.939999999999998,9.1,1.9099999999999997,2
002,L,9.36,9.4,2.86,2
002,R,9.58,10.0,1.0,2
002,R,10.5,10.620000000000003,2.0,2
002,L,12.47,12.78,1.73,2
002,L,14.18,14.25,0.29,2
002,L,14.41,14.53,1.08,2
002,L,14.57,14.65,1.15,2
002,L,15.51,15.9,1.25,2
002,R,16.11,16.19,2.0,2
002,L,18.03,18.19,2.0,2
002,R,18.32,18.36,4.0,2
002,R,18.84,18.93,2.0,2
002,L,20.08,20.22,3.0,2
002,L,20.56,20.72,1.0,2
002,R,22.32,22.41,3.0,2
002,L,22.67,22.81,2.0,2
002,L,22.96,23.05,1.0,2
002,R,23.35,23.45,2.0,2
002,R,24.85,25.11,2.0,2
002,L,25.48,25.63,2.0,2
002,R,26.29,26.35,3.0,2
002,L,26.51,26.57,3.0,2
002,R,26.88,27.04,3.5,2
002,L,27.690000000000005,27.95,0.5,2
002,R,27.95,28.0,0.88,2
002,R,28.0,28.1,0.88,2
002,L,28.55,28.59,0.5,2
002,R,28.59,28.63,0.5,2
002,L,29.41,29.61,1.0,2
002,L,30.91,31.23,2.0,2
002,R,32.13,32.50999999999999,4.0,2
002,R,32.55,32.71,6.0,2
002,L,32.79,33.06,5.0,2
002,L,33.53,33.62,4.5,2
002,L,33.82999999999999,33.95,2.0,2
002,R,34.05,34.12,4.0,2
002,L,34.27000000000001,34.43,8.0,2
002,R,34.5,34.73000000000001,6.0,2
002,L,34.93,35.05000000000001,4.0,2
002,L,35.2,35.30000000000001,8.0,2
002,R,35.44,35.59000000000001,4.77,2
002,R,35.63,35.78,7.16,2
002,L,35.84000000000001,35.97,7.42,2
002,R,36.04,36.15,4.0,2
002,L,36.18,36.28,3.37,2
002,L,36.42000000000001,36.54,4.0,2
002,R,36.59000000000001,36.66,6.0,2
002,L,36.69,36.96,4.88,2
002,R,37.05000000000001,37.22,6.0,2
002,R,37.31,37.46,4.0,2
002,R,37.81,37.9,1.0,2
002,L,38.03,38.23000000000001,6.0,2
002,R,38.27000000000001,38.34000000000001,6.0,2
002,R,38.43,38.69,6.0,2
002,L,38.86,38.98000000000001,2.0,2
002,R,39.2,39.24000000000001,4.0,2
002,L,39.32,39.39,10.0,2
002,R,39.46,39.50999999999999,0.5,2
002,L,39.96,40.00999999999999,1.41,2
002,R,40.14,40.30000000000001,4.0,2
002,L,40.47,40.61,3.0,2
002,L,42.94,43.14,3.18,2
002,R,43.19,43.39,3.18,2
002,L,43.80000000000001,43.9,6.0,2
002,R,44.01,44.28,3.0,2
002,L,44.35,44.45,5.0,2
002,R,45.09,45.12,1.0,2
002,L,45.24,45.27,1.0,2
002,L,45.39,45.47,1.0,2
002,L,45.71,45.85,3.0,2
002,R,45.98000000000001,46.16,4.0,2
002,L,46.2,46.32,4.0,2
002,R,46.5,46.74,3.0,2
002,L,47.05000000000001,47.25,3.0,2
002,R,47.58,47.86,2.0,2
002,L,47.94,48.19,2.0,2
002,L,48.33,48.56,4.0,2
002,R,48.83,48.94,4.0,2
002,L,49.04,49.25,3.0,2
002,R,49.44,49.64,4.0,2
002,R,50.91,51.0,2.0,2
002,L,51.41,51.55,2.0,2
002,L,52.1,52.37,2.0,2
002,R,52.59000000000001,52.98000000000001,3.0,2
002,R,52.98000000000001,53.05,4.41,2
002,L,53.16,53.33,4.0,2
002,L,53.76,53.8,0.44,2
002,R,53.89,53.9,0.44,2
002,R,54.05,54.12,0.44,2
002,L,54.51,54.64,2.79,2
002,R,54.7,54.85,3.18,2
002,R,55.05,55.16,1.9099999999999997,2
002,L,55.26,55.34000000000001,1.9099999999999997,2
002,R,55.39,55.6,0.31,2
002,L,55.61,55.66,0.45,2
002,R,55.84000000000001,55.94,2.76,2
002,L,56.03,56.15,3.16,2
002,R,56.21,56.32,3.8199999999999994,2
002,L,56.48000000000001,56.69,1.98,2
002,L,56.69,56.71,2.01,2
002,R,56.71,56.82,0.45,2
002,L,57.04,57.13000000000001,1.9099999999999997,2
002,R,57.17,57.31,2.86,2
002,L,57.45,57.5,0.39,2
002,R,57.62,57.71,3.58,2
002,R,58.0,58.04,0.29,2
002,R,58.38000000000002,58.6,3.37,2
002,L,59.07,59.14,0.38,2
002,R,59.19,59.26,0.38,2
002,L,59.46,59.62,1.25,2
002,R,59.84000000000002,59.95,4.77,2
002,L,60.22,60.41,9.35,2
002,L,60.41,60.6,9.35,2
002,R,60.76,60.83,4.09,2
